site_no,dec_lat_va,dec_long_va,qw_begin_date,qw_end_date
1404240,40.39805556,-74.52527778,11/25/2015,8/7/2017
1404280,40.3972222,-74.51888889,7/28/2011,7/28/2011
1404300,40.41277778,-74.4991667,,
1404302,40.4161111,-74.4936111,3/26/1976,10/28/2003
1404380,40.41166667,-74.5316667,11/10/2015,8/28/2017
1404400,40.4183611,-74.49777778,10/28/2004,8/16/2006
1404450,40.4086111,-74.445,,
1404460,40.40666667,-74.4466667,,
1404470,40.42027778,-74.4844444,11/19/1998,8/26/1999
1404500,40.42388889,-74.4786111,8/30/1923,10/9/1924
1404700,40.42694444,-74.4541667,,
1405000,40.45,-74.4511111,2/16/1932,3/5/1980
1405003,40.4486111,-74.4461111,11/19/2002,6/2/2011
1405005,40.43916667,-74.44638889,11/23/2015,8/28/2017
1405010,40.4336111,-74.4005556,,
1405030,40.48305556,-74.41277778,3/26/1976,5/25/1982
1405245,40.32777778,-74.38777778,12/21/2015,8/21/2017
1405250,40.33944444,-74.3730556,,
1405285,40.34805556,-74.3572222,7/14/1976,8/9/2000
1405290,40.3597222,-74.36777778,,
1405300,40.3811111,-74.3805556,4/5/1960,9/29/1970
1405302,40.38944444,-74.3816667,5/24/1976,7/10/2001
1405340,40.2961111,-74.39777778,7/14/1976,9/20/2023
1405390,40.3747222,-74.41527778,5/24/1976,5/2/1978
1405395,40.38527778,-74.3919444,,
1405400,40.38944444,-74.3905556,4/5/1960,2/19/1981
1405435,40.39055556,-74.3916667,,
1405440,40.39055556,-74.39027778,2/14/1979,6/17/2008
1405460,40.39805556,-74.37,,
1405470,40.3933333,-74.3594444,,
1405475,40.395,-74.3597222,,
1405480,40.3958333,-74.36,,
1405490,40.3986111,-74.3691667,,
1405500,40.4061111,-74.3686111,3/23/1960,2/25/1980
1405700,40.41666667,-74.3616667,5/24/1976,8/7/2007
1406000,40.375,-74.3030556,,
1406020,40.38527778,-74.3083333,,
1406030,40.395,-74.3336111,11/18/2015,9/28/2017
1406040,40.40805556,-74.3430556,12/9/2008,6/2/2011
1406050,40.415,-74.34888889,10/6/1976,5/4/1978
1406500,40.4158333,-74.3186111,4/14/1933,4/14/1933
1406520,40.42555556,-74.34,8/31/1977,5/4/1978
1406580,40.45527778,-74.3716667,,
1406610,40.465,-74.3722222,8/11/1987,8/11/1987
1406619,40.4708333,-74.3672222,8/11/1987,8/11/1987
1406680,40.4961111,-74.3261111,,
1406800,40.45430556,-74.2729444,,
1406940,40.4097222,-74.25,,
1460360,40.33527778,-74.9286111,,
1460365,40.3086111,-74.88138889,,
1460378,40.29638889,-74.8666667,,
1460380,40.29666667,-74.8669444,,
1460390,40.2647222,-74.84777778,11/13/2001,12/4/2001
1460395,40.25666667,-74.8380556,,
1460398,40.25055556,-74.83027778,,
1460399,40.24444444,-74.8194444,,
1460400,40.2447222,-74.8191667,3/30/1998,5/25/1999
1460410,40.23166667,-74.7819444,,
1460415,40.225,-74.7775,,
1460420,40.22305556,-74.7741667,,
1460440,40.30444444,-74.685,3/31/1998,5/25/1999
1460460,40.34194444,-74.6375,,
1460480,40.35916667,-74.6247222,,
1460490,40.3697222,-74.6205556,,
1460500,40.3736111,-74.6183333,10/2/1961,3/4/1980
1460501,40.3736111,-74.6183333,,
1460520,40.42916667,-74.6183333,,
1460525,40.4333333,-74.61527778,,
1460530,40.43805556,-74.6141667,3/31/1998,7/28/2011
1460550,40.47527778,-74.5722222,,
1460560,40.5358333,-74.5775,,
